Date,PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g
2025-02-13 09:00:00,65.6,103.2,1.236,67.1,4.5,4.9
2025-02-13 10:00:00,41.0,71.1,0.841,45.7,57.3,4.8
2025-02-13 11:00:00,14.5,26.5,0.329,13.1,72.8,4.3
2025-02-13 12:00:00,14.0,25.6,0.39,11.7,73.1,4.3
2025-02-13 13:00:00,15.5,24.8,0.398,15.9,71.3,4.2
2025-02-13 14:00:00,16.3,24.9,0.409,20.1,68.7,3.6
2025-02-13 15:00:00,16.8,22.2,0.4,17.8,68.2,3.1
2025-02-13 16:00:00,14.7,18.9,0.406,18.3,63.2,3.3
2025-02-13 17:00:00,15.7,20.0,0.41,19.6,57.7,3.5
2025-02-13 18:00:00,16.9,21.0,0.435,25.8,56.3,3.7
2025-02-13 19:00:00,16.0,19.6,0.433,22.3,60.7,3.9
2025-02-13 20:00:00,16.0,18.9,0.402,17.7,61.9,3.6
2025-02-13 21:00:00,17.5,20.6,0.401,15.9,61.8,3.7
2025-02-13 22:00:00,17.4,20.4,0.419,17.0,62.1,3.6
2025-02-13 23:00:00,15.0,17.5,0.351,11.5,64.1,3.7
2025-02-14 00:00:00,15.2,17.9,0.368,14.9,65.2,3.3
2025-02-14 01:00:00,15.7,18.5,0.36,16.8,64.3,3.1
2025-02-14 02:00:00,17.5,20.4,0.34,8.5,62.7,3.2
2025-02-14 03:00:00,19.8,22.9,0.362,8.9,56.1,2.6
2025-02-14 04:00:00,21.1,24.4,0.391,11.6,46.7,2.2
2025-02-14 05:00:00,21.8,25.3,0.409,18.1,44.3,2.2
2025-02-14 06:00:00,22.4,25.9,0.432,21.5,41.1,1.8
2025-02-14 07:00:00,23.4,27.5,0.499,29.3,24.7,2.2
2025-02-14 08:00:00,26.1,30.4,0.609,36.6,10.4,3.1
2025-02-14 09:00:00,27.8,32.8,0.652,36.6,17.0,2.9
2025-02-14 10:00:00,26.3,31.4,0.669,27.7,18.6,3.3
2025-02-14 11:00:00,25.5,29.5,,,18.2,3.1
2025-02-14 12:00:00,26.0,30.0,0.494,28.9,16.7,2.7
2025-02-14 13:00:00,33.7,38.8,0.571,31.7,12.5,2.1
2025-02-14 14:00:00,38.6,44.5,0.636,32.7,10.1,1.8
2025-02-14 15:00:00,42.2,48.8,0.588,55.1,19.9,1.9
2025-02-14 16:00:00,41.9,48.4,0.642,47.7,33.3,1.8
2025-02-14 17:00:00,42.4,49.8,0.593,49.1,35.0,1.8
2025-02-14 18:00:00,44.5,52.8,0.454,41.2,41.5,1.7
2025-02-14 19:00:00,43.4,51.5,0.403,34.0,36.8,1.8
2025-02-14 20:00:00,16.6,19.9,0.214,21.8,47.8,1.5
2025-02-14 21:00:00,9.1,10.9,0.186,29.1,55.1,0.6
2025-02-14 22:00:00,8.9,10.7,0.211,28.0,53.9,0.5
2025-02-14 23:00:00,9.1,11.4,0.229,25.6,53.8,0.9
2025-02-15 00:00:00,10.9,13.3,0.251,27.8,48.5,0.9
2025-02-15 01:00:00,13.4,16.7,0.315,21.4,52.3,1.5
2025-02-15 02:00:00,15.3,18.9,0.301,15.6,52.0,1.6
2025-02-15 03:00:00,17.8,21.7,0.32,14.8,49.6,1.2
